name,ms,spread_%,GFLOP/s,GB/s,AI,%roof,bound
copy(256MB),0.9738,0.4,68.9,551.3,0.125,100.1,mem
gemm(8192³),15.2491,1.2,72103.4,26.4,2730.667,100.0,cmp
